# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-05-15   -0.143752
2018-05-16    0.046913
2018-05-17   -0.197462
2018-05-18    0.138824
2018-05-21    0.079808
2018-05-22    0.104914
2018-05-23    0.251045
2018-05-24    0.143128
2018-05-25   -0.161627
2018-05-28    0.047671
2018-05-29    0.098800
2018-05-30   -0.056198
2018-05-31   -0.007661
2018-06-01   -0.060142
2018-06-04   -0.085165
2018-06-05    0.147342
2018-06-06   -0.326373
2018-06-07    0.122216
2018-06-08   -0.103640
2018-06-11   -0.099549
2018-06-12    0.089725
2018-06-13    0.027541
2018-06-14   -0.168331
2018-06-15    0.005719
2018-06-19   -0.064857
2018-06-20    0.133056
2018-06-21    0.092593
2018-06-22    0.301221
2018-06-25    0.337614
2018-06-26    0.222896
2018-06-27   -0.136916
2018-06-28    0.229176
2018-06-29    0.262130
2018-07-02    0.023726
2018-07-03   -0.066633
2018-07-04    0.022464
2018-07-05    0.027878
2018-07-06   -0.033592
2018-07-09   -0.032703
2018-07-10   -0.054476
2018-07-11   -0.076413
2018-07-12   -0.067951
2018-07-13   -0.000814
2018-07-16   -0.018749
2018-07-17   -0.025541
2018-07-18   -0.096104
2018-07-19    0.085807
2018-07-20   -0.010874
2018-07-23    0.083080
2018-07-24   -0.228027
2018-07-25   -0.042413
2018-07-26    0.171446
2018-07-27   -0.069439
2018-07-30    0.152005
2018-07-31    0.223434
2018-08-01    0.206077
2018-08-02    0.162366
2018-08-03    0.053277
2018-08-06   -0.121403
2018-08-07    0.069022
2018-08-08    0.185400
2018-08-09    0.105628
2018-08-10   -0.034938
2018-08-13   -0.214779
2018-08-14   -0.223812
2018-08-15   -0.121976
2018-08-16   -0.167161
2018-08-17    0.123803
2018-08-20   -0.124443
2018-08-21   -0.003121
2018-08-22   -0.008549
2018-08-23    0.088464
2018-08-24    0.088278
2018-08-27   -0.019341
2018-08-28   -0.032994
2018-08-29   -0.069886
2018-08-30   -0.065018
2018-08-31    0.015664
2018-09-03    0.085354
2018-09-04   -0.141709
2018-09-05   -0.056729
2018-09-06    0.213289
2018-09-07   -0.085687
2018-09-10    0.231817
2018-09-11    0.023725
2018-09-12   -0.064195
2018-09-13   -0.083167
2018-09-14    0.110999
2018-09-17   -0.086743
2018-09-18    0.038141
2018-09-19   -0.142505
2018-09-20    0.101691
2018-09-21    0.071753
2018-09-25   -0.161124
2018-09-26    0.039990
2018-09-27   -0.038621
2018-09-28    0.090441
2018-10-08    0.055334
2018-10-09    0.171709
2018-10-10    0.200101
2018-10-11   -0.093816
2018-10-12   -0.119996
2018-10-15    0.097399
2018-10-16    0.068551
2018-10-17    0.137658
2018-10-18    0.202243
2018-10-19    0.136297
2018-10-22    0.080373
2018-10-23   -0.023042
2018-10-24    0.335119
2018-10-25   -0.039861
2018-10-26   -0.230475
2018-10-29    0.430775
2018-10-30    0.169486
2018-10-31    0.355063
2018-11-01   -0.003738
2018-11-02   -0.098903
2018-11-05   -0.008283
2018-11-06   -0.017723
2018-11-07    0.109420
2018-11-08    0.060941
2018-11-09    0.275181
2018-11-12    0.166347
2018-11-13    0.168676
2018-11-14    0.151000
2018-11-15    0.000434
2018-11-16   -0.151039
2018-11-19    0.099639
2018-11-20    0.103804
2018-11-21   -0.221605
2018-11-22    0.102974
2018-11-23    0.042018
2018-11-26    0.049087
2018-11-27    0.026853
2018-11-28   -0.019028
2018-11-29   -0.115001
2018-11-30   -0.133841
2018-12-03    0.111123
2018-12-04    0.134212
2018-12-05    0.036836
2018-12-06    0.056088
2018-12-07   -0.093640
2018-12-10   -0.095587
