# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-03-12    0.050683
2018-03-13    0.103185
2018-03-14   -0.142844
2018-03-15   -0.000189
2018-03-16    0.066852
2018-03-19   -0.026619
2018-03-20   -0.067546
2018-03-21    0.096428
2018-03-22    0.108387
2018-03-23    0.025223
2018-03-26   -0.075079
2018-03-27   -0.020706
2018-03-28    0.168332
2018-03-29    0.051789
2018-03-30    0.057287
2018-04-02   -0.126088
2018-04-03    0.133054
2018-04-04   -0.137614
2018-04-09   -0.074478
2018-04-10    0.033229
2018-04-11   -0.051424
2018-04-12    0.113711
2018-04-13   -0.172609
2018-04-16    0.246341
2018-04-17    0.053927
2018-04-18   -0.056185
2018-04-19   -0.052687
2018-04-20    0.094022
2018-04-23    0.119967
2018-04-24   -0.137351
2018-04-25    0.051533
2018-04-26    0.161466
2018-04-27    0.035810
2018-05-02    0.033775
2018-05-03    0.223316
2018-05-04   -0.118701
2018-05-07    0.007238
2018-05-08    0.107109
2018-05-09   -0.250410
2018-05-10    0.119480
2018-05-11    0.205881
2018-05-14    0.062857
2018-05-15   -0.234141
2018-05-16   -0.059619
2018-05-17   -0.134767
2018-05-18    0.254312
2018-05-21    0.095419
2018-05-22    0.045898
2018-05-23    0.021045
2018-05-24    0.211542
2018-05-25   -0.081383
2018-05-28    0.108379
2018-05-29    0.329944
2018-05-30   -0.287191
2018-05-31    0.013272
2018-06-01    0.346834
2018-06-04    0.145621
2018-06-05   -0.263164
2018-06-06    0.280805
2018-06-07   -0.054646
2018-06-08    0.202589
2018-06-11   -0.106047
2018-06-12   -0.095331
2018-06-13   -0.101976
2018-06-14    0.121268
2018-06-15    0.083142
2018-06-19    0.033555
2018-06-20   -0.001159
2018-06-21    0.009289
2018-06-22   -0.157562
2018-06-25   -0.253597
2018-06-26   -0.117283
2018-06-27    0.298026
2018-06-28    0.044624
2018-06-29   -0.194927
2018-07-02   -0.157864
2018-07-03    0.085885
2018-07-04    0.002444
2018-07-05    0.258125
2018-07-06    0.131195
2018-07-09    0.090072
2018-07-10    0.035460
2018-07-11    0.169225
2018-07-12    0.048677
2018-07-13   -0.186275
2018-07-16   -0.010675
2018-07-17   -0.069888
2018-07-18   -0.066516
2018-07-19   -0.152714
2018-07-20   -0.199388
2018-07-23    0.133032
2018-07-24   -0.153641
2018-07-25    0.007219
2018-07-26   -0.084074
2018-07-27   -0.003331
2018-07-30    0.005825
2018-07-31    0.144547
2018-08-01   -0.110757
2018-08-02   -0.087950
2018-08-03    0.106071
2018-08-06   -0.037857
2018-08-07    0.128739
2018-08-08    0.050622
2018-08-09    0.131016
2018-08-10   -0.117182
2018-08-13   -0.060631
2018-08-14   -0.013807
2018-08-15   -0.025748
2018-08-16    0.111407
2018-08-17    0.075128
2018-08-20    0.138919
2018-08-21    0.043827
2018-08-22    0.015695
2018-08-23    0.023608
2018-08-24   -0.071726
2018-08-27    0.029077
2018-08-28   -0.063633
2018-08-29    0.098887
2018-08-30    0.237978
2018-08-31    0.008575
2018-09-03   -0.151223
2018-09-04    0.076031
2018-09-05   -0.065681
2018-09-06    0.070282
2018-09-07    0.023255
2018-09-10   -0.061262
2018-09-11    0.112038
2018-09-12   -0.197201
2018-09-13    0.057492
2018-09-14    0.035101
2018-09-17   -0.160404
2018-09-18   -0.013364
2018-09-19   -0.074051
2018-09-20    0.139779
2018-09-21    0.102086
2018-09-25    0.071752
2018-09-26   -0.020920
2018-09-27   -0.073157
2018-09-28    0.082317
2018-10-08    0.123167
2018-10-09    0.190586
2018-10-10    0.351248
2018-10-11    0.136847
2018-10-12    0.016432
2018-10-15    0.003220
2018-10-16   -0.018906
2018-10-17   -0.003107
2018-10-18   -0.224374
2018-10-19    0.089068
2018-10-22    0.029068
2018-10-23    0.005163
2018-10-24   -0.021799
2018-10-25    0.025811
2018-10-26   -0.041526
2018-10-29   -0.197061
2018-10-30   -0.163090
2018-10-31   -0.216680
2018-11-01   -0.134013
2018-11-02    0.116399
2018-11-05    0.021761
2018-11-06    0.084528
2018-11-07   -0.002760
2018-11-08   -0.205621
2018-11-09   -0.287630
2018-11-12   -0.081479
2018-11-13   -0.121361
2018-11-14   -0.129248
2018-11-15    0.060313
2018-11-16    0.040439
2018-11-19    0.001884
2018-11-20    0.004057
2018-11-21    0.171157
2018-11-22    0.038995
2018-11-23   -0.112202
2018-11-26    0.009768
2018-11-27    0.058906
2018-11-28   -0.103273
2018-11-29   -0.109807
2018-11-30   -0.096429
2018-12-03   -0.013134
2018-12-04   -0.017401
2018-12-05    0.020264
2018-12-06    0.032288
2018-12-07    0.071973
2018-12-10    0.124889
2018-12-11   -0.035057
2018-12-12   -0.048547
2018-12-13   -0.067377
2018-12-14   -0.012791
2018-12-17   -0.098055
2018-12-18    0.092418
2018-12-19   -0.117144
2018-12-20    0.025617
2018-12-21    0.075982
2018-12-24    0.021254
2018-12-25   -0.067760
2018-12-26    0.086528
2018-12-27   -0.010166
2018-12-28   -0.015585

### 因子: RSQR20 (排名: 2)
datetime
2018-01-02   -0.042202
2018-01-03   -0.014576
2018-01-04    0.123434
2018-01-05   -0.078687
2018-01-08    0.060027
2018-01-09   -0.128612
2018-01-10    0.045960
2018-01-11    0.127711
2018-01-12    0.166274
2018-01-15   -0.184065
2018-01-16    0.059047
2018-01-17   -0.167206
2018-01-18   -0.014702
2018-01-19    0.210398
2018-01-22    0.033331
2018-01-23   -0.210669
2018-01-24    0.205966
2018-01-25    0.021818
2018-01-26   -0.236871
2018-01-29    0.127123
2018-01-30    0.154230
2018-01-31   -0.009725
2018-02-01    0.089167
2018-02-02    0.037452
2018-02-05   -0.126005
2018-02-06    0.029421
2018-02-07    0.248087
2018-02-08    0.176672
2018-02-09   -0.034707
2018-02-12    0.036184
2018-02-13   -0.156307
2018-02-14    0.085695
2018-02-22    0.147909
2018-02-23    0.179412
2018-02-26    0.103176
2018-02-27   -0.090802
2018-02-28    0.055499
2018-03-01   -0.095620
2018-03-02    0.090344
2018-03-05    0.082768
2018-03-06   -0.168718
2018-03-07    0.106559
2018-03-08    0.074321
2018-03-09   -0.091617
2018-03-12   -0.082813
2018-03-13    0.073548
2018-03-14   -0.143969
2018-03-15    0.338978
2018-03-16    0.138645
2018-03-19   -0.179328
2018-03-20   -0.024734
2018-03-21    0.095721
2018-03-22   -0.005640
2018-03-23   -0.173536
2018-03-26    0.060058
2018-03-27    0.034185
2018-03-28   -0.123595
2018-03-29   -0.088098
2018-03-30   -0.043937
2018-04-02    0.196685
2018-04-03   -0.054795
2018-04-04    0.280901
2018-04-09    0.107659
2018-04-10   -0.070615
2018-04-11    0.043050
2018-04-12    0.061326
2018-04-13   -0.046488
2018-04-16   -0.253222
2018-04-17    0.059844
2018-04-18    0.142436
2018-04-19   -0.123827
2018-04-20   -0.040059
2018-04-23   -0.062279
2018-04-24   -0.002775
2018-04-25    0.075264
2018-04-26    0.075057
2018-04-27    0.084096
2018-05-02   -0.077631
2018-05-03   -0.041399
2018-05-04    0.050782
2018-05-07   -0.008741
2018-05-08   -0.086641
2018-05-09    0.054318
2018-05-10   -0.061564
2018-05-11    0.036199
2018-05-14    0.047100
2018-05-15   -0.117801
2018-05-16    0.015379
2018-05-17   -0.246097
2018-05-18    0.112820
2018-05-21    0.123861
2018-05-22    0.123408
2018-05-23    0.219416
2018-05-24    0.136548
2018-05-25   -0.011729
2018-05-28    0.073589
2018-05-29    0.076705
2018-05-30   -0.038707
2018-05-31   -0.021106
2018-06-01   -0.037660
2018-06-04   -0.066029
2018-06-05    0.164933
2018-06-06   -0.332369
2018-06-07    0.140999
2018-06-08   -0.156360
2018-06-11   -0.138501
2018-06-12    0.144630
2018-06-13    0.027147
2018-06-14   -0.158462
2018-06-15    0.026137
2018-06-19   -0.104564
2018-06-20    0.117400
2018-06-21    0.122591
2018-06-22    0.291334
2018-06-25    0.332431
2018-06-26    0.260336
2018-06-27   -0.189258
2018-06-28    0.211021
2018-06-29    0.244146
2018-07-02    0.003307
2018-07-03   -0.072843
2018-07-04   -0.028988
2018-07-05    0.026669
2018-07-06   -0.063092
2018-07-09   -0.040029
2018-07-10   -0.047860
2018-07-11   -0.016238
2018-07-12   -0.112738
2018-07-13    0.007700
2018-07-16   -0.087762
2018-07-17    0.012480
2018-07-18   -0.159626
2018-07-19    0.139514
2018-07-20    0.030823
2018-07-23    0.053644
2018-07-24   -0.152254
2018-07-25    0.016744
2018-07-26    0.195226
2018-07-27   -0.098662
2018-07-30    0.120065
2018-07-31    0.254580
2018-08-01    0.233736
2018-08-02    0.194410
2018-08-03    0.009778
2018-08-06   -0.143822
2018-08-07    0.052639
2018-08-08    0.134398
2018-08-09    0.147584
2018-08-10   -0.068360
2018-08-13   -0.230873
2018-08-14   -0.182274
2018-08-15   -0.118682
2018-08-16   -0.118172
2018-08-17    0.174261
2018-08-20   -0.149458
2018-08-21    0.066343
2018-08-22   -0.057624
2018-08-23    0.101882
2018-08-24    0.075008
2018-08-27   -0.120732
2018-08-28   -0.010137
2018-08-29   -0.076422
2018-08-30   -0.104758
2018-08-31    0.052674
2018-09-03    0.089589
2018-09-04   -0.131430
2018-09-05   -0.038427
2018-09-06    0.201927
2018-09-07   -0.137609
2018-09-10    0.160943
2018-09-11   -0.031003
2018-09-12   -0.092989
2018-09-13   -0.079773
2018-09-14    0.102566
2018-09-17   -0.084012
2018-09-18    0.034799
2018-09-19   -0.145596
2018-09-20    0.026851
2018-09-21    0.093487
2018-09-25   -0.171113
2018-09-26    0.012855
2018-09-27   -0.052716
2018-09-28    0.088062
2018-10-08    0.078204
2018-10-09    0.175664
2018-10-10    0.246612
2018-10-11   -0.081929
2018-10-12   -0.026778
2018-10-15    0.084700
2018-10-16    0.050047
2018-10-17    0.129602
2018-10-18    0.215741
2018-10-19    0.129361
2018-10-22    0.034157
2018-10-23   -0.142509
2018-10-24    0.345875
2018-10-25    0.001366
2018-10-26   -0.185237
2018-10-29    0.451280
2018-10-30    0.211262
2018-10-31    0.338476
2018-11-01    0.012764
2018-11-02   -0.135454
2018-11-05   -0.000623
2018-11-06    0.063190
2018-11-07    0.133501
2018-11-08    0.092806
2018-11-09    0.301875
2018-11-12    0.143438
2018-11-13    0.148360
2018-11-14    0.091082
2018-11-15   -0.051517
2018-11-16   -0.147101
2018-11-19    0.124004
2018-11-20    0.079489
2018-11-21   -0.206180
2018-11-22    0.130377
2018-11-23   -0.047752
2018-11-26   -0.026125
2018-11-27    0.049966
2018-11-28    0.010014
2018-11-29   -0.174225
2018-11-30   -0.161231
2018-12-03    0.117202
2018-12-04    0.158699
2018-12-05   -0.003129
2018-12-06    0.040007
2018-12-07   -0.067379
2018-12-10   -0.035180
2018-12-11   -0.080811
2018-12-12   -0.028233
2018-12-13   -0.108794
2018-12-14    0.052267
2018-12-17   -0.015724
2018-12-18    0.092494
2018-12-19    0.085238
2018-12-20    0.019520
2018-12-21    0.063070
2018-12-24    0.110727
2018-12-25    0.029597
2018-12-26    0.166996
2018-12-27   -0.001105
2018-12-28    0.241018

### 因子: RESI5 (排名: 3)
datetime
2018-01-02    0.080887
2018-01-03   -0.105724
2018-01-04    0.002098
2018-01-05   -0.065928
2018-01-08    0.075100
2018-01-09    0.113660
2018-01-10    0.052658
2018-01-11   -0.180737
2018-01-12    0.035995
2018-01-15   -0.148923
2018-01-16    0.082806
2018-01-17    0.327012
2018-01-18    0.076231
2018-01-19   -0.077806
2018-01-22   -0.136366
2018-01-23    0.027753
2018-01-24   -0.029214
2018-01-25    0.216115
2018-01-26    0.041248
2018-01-29    0.094024
2018-01-30   -0.226793
2018-01-31    0.051802
2018-02-01    0.014256
2018-02-02   -0.222352
2018-02-05    0.301363
2018-02-06   -0.100499
2018-02-07    0.245138
2018-02-08    0.644770
2018-02-09   -0.033168
2018-02-12    0.388289
2018-02-13    0.114378
2018-02-14    0.185890
2018-02-22   -0.001138
2018-02-23    0.081245
2018-02-26    0.222756
2018-02-27    0.341805
2018-02-28    0.018111
2018-03-01   -0.138003
2018-03-02   -0.107347
2018-03-05    0.039866
2018-03-06    0.045348
2018-03-07   -0.138724
2018-03-08   -0.289686
2018-03-09   -0.120767
2018-03-12   -0.144011
2018-03-13   -0.067860
2018-03-14    0.095277
2018-03-15    0.136581
2018-03-16   -0.073041
2018-03-19   -0.046714
2018-03-20    0.029843
2018-03-21    0.073233
2018-03-22   -0.123910
2018-03-23   -0.358337
2018-03-26   -0.083575
2018-03-27    0.090307
2018-03-28   -0.145814
2018-03-29   -0.032338
2018-03-30    0.096426
2018-04-02   -0.128102
2018-04-03    0.146482
2018-04-04    0.192298
2018-04-09   -0.067032
2018-04-10   -0.252503
2018-04-11    0.079144
2018-04-12    0.335399
2018-04-13   -0.086934
2018-04-16    0.033930
2018-04-17    0.038611
2018-04-18   -0.058285
2018-04-19    0.089337
2018-04-20   -0.251766
2018-04-23   -0.018719
2018-04-24   -0.168420
2018-04-25    0.045853
2018-04-26   -0.132337
2018-04-27   -0.010753
2018-05-02    0.010862
2018-05-03    0.179072
2018-05-04    0.068558
2018-05-07    0.090772
2018-05-08   -0.166815
2018-05-09    0.158388
2018-05-10   -0.007480
2018-05-11   -0.177516
2018-05-14   -0.269509
2018-05-15   -0.044321
2018-05-16   -0.121721
2018-05-17   -0.016021
2018-05-18   -0.194427
2018-05-21   -0.001291
2018-05-22    0.049082
2018-05-23    0.244315
2018-05-24   -0.022155
2018-05-25    0.129107
2018-05-28    0.000326
2018-05-29   -0.055100
2018-05-30   -0.161746
2018-05-31    0.049614
2018-06-01   -0.103372
2018-06-04   -0.134257
2018-06-05   -0.194840
2018-06-06    0.109387
2018-06-07    0.194416
2018-06-08    0.069883
2018-06-11    0.165052
2018-06-12   -0.071304
2018-06-13    0.300123
2018-06-14   -0.196352
2018-06-15   -0.096281
2018-06-19    0.204348
2018-06-20    0.313436
2018-06-21    0.097937
2018-06-22    0.597602
2018-06-25    0.293722
2018-06-26    0.249864
2018-06-27   -0.469390
2018-06-28   -0.208057
2018-06-29   -0.205931
2018-07-02    0.021558
2018-07-03   -0.156771
2018-07-04   -0.200873
2018-07-05    0.060361
2018-07-06   -0.050291
2018-07-09    0.049672
2018-07-10    0.027729
2018-07-11    0.092691
2018-07-12    0.182542
2018-07-13   -0.023674
2018-07-16    0.157066
2018-07-17    0.063639
2018-07-18    0.194070
2018-07-19    0.103962
2018-07-20   -0.099461
2018-07-23   -0.046190
2018-07-24    0.153961
2018-07-25   -0.131341
2018-07-26   -0.161175
2018-07-27   -0.110603
2018-07-30   -0.120789
2018-07-31   -0.104014
2018-08-01   -0.149014
2018-08-02   -0.036912
2018-08-03   -0.156780
2018-08-06    0.026102
2018-08-07    0.355048
2018-08-08    0.075118
2018-08-09    0.340853
2018-08-10   -0.122796
2018-08-13   -0.061982
2018-08-14   -0.052203
2018-08-15    0.188546
2018-08-16    0.237627
2018-08-17   -0.190804
2018-08-20   -0.099950
2018-08-21   -0.006667
2018-08-22    0.191787
2018-08-23   -0.039176
2018-08-24   -0.220088
2018-08-27   -0.062636
2018-08-28    0.004505
2018-08-29    0.174631
2018-08-30    0.096728
2018-08-31   -0.132674
2018-09-03   -0.090492
2018-09-04    0.015031
2018-09-05    0.050057
2018-09-06   -0.129820
2018-09-07   -0.214380
2018-09-10   -0.054879
2018-09-11    0.051806
2018-09-12   -0.215743
2018-09-13   -0.014912
2018-09-14   -0.025552
2018-09-17   -0.018159
2018-09-18    0.021471
2018-09-19    0.092599
2018-09-20   -0.028117
2018-09-21    0.102792
2018-09-25   -0.083447
2018-09-26    0.044741
2018-09-27    0.183618
2018-09-28    0.071973
2018-10-08    0.230217
2018-10-09   -0.151173
2018-10-10    0.008581
2018-10-11    0.076700
2018-10-12    0.022832
2018-10-15    0.035109
2018-10-16    0.028926
2018-10-17    0.025744
2018-10-18    0.139010
2018-10-19   -0.009489
2018-10-22   -0.085024
2018-10-23    0.244762
2018-10-24    0.186282
2018-10-25    0.043365
2018-10-26   -0.211604
2018-10-29    0.183636
2018-10-30   -0.008713
2018-10-31    0.474962
2018-11-01   -0.081284
2018-11-02   -0.197856
2018-11-05   -0.181961
2018-11-06    0.175627
2018-11-07   -0.242273
2018-11-08   -0.319661
2018-11-09    0.113067
2018-11-12    0.076472
2018-11-13    0.258061
2018-11-14   -0.212839
2018-11-15    0.081337
2018-11-16   -0.257197
2018-11-19    0.155675
2018-11-20    0.148067
2018-11-21    0.127972
2018-11-22   -0.091712
2018-11-23   -0.232324
2018-11-26   -0.015197
2018-11-27   -0.310835
2018-11-28    0.227274
2018-11-29   -0.066430
2018-11-30    0.002024
2018-12-03   -0.151925
2018-12-04   -0.125293
2018-12-05   -0.030778
2018-12-06    0.093820
2018-12-07   -0.062478
2018-12-10   -0.129247
2018-12-11    0.121677
2018-12-12   -0.007730
2018-12-13    0.078155
2018-12-14    0.016437
2018-12-17    0.153967
2018-12-18    0.178627
2018-12-19    0.145095
2018-12-20    0.046345
2018-12-21   -0.069367
2018-12-24    0.041658
2018-12-25    0.049051
2018-12-26    0.221036
2018-12-27    0.073597
2018-12-28    0.271261
